Vendor,Network / Site,VendorNetworkID,Datasource,Mediaplan,Campaign Mp Label,Campaign upper,Campaign Name
Traditional Display Media,Xaxis - interstitial,TRADITIONAL DISPLAY MEDIA_XAXIS - INTERSTITIAL,Sizmek Sas,2021_ktbo_kube_Adverity_Mediaplan_Mayo-Colombia,MCMCO_2021_COL_Kelloggs_Extra_Seasonal_Extra_Sizmek_Breakfast for One_CPM-Xaxis - interstitial,MCMCO_2021_COL_KELLOGGS_EXTRA_SEASONAL_EXTRA_SIZMEK_BREAKFASTFORONE_CPM-XAXIS-INTERSTITIAL,MCMCO_2021_COL_KELLOGGS_EXTRA_SEASONAL_EXTRA_SIZMEK_BREAKFASTFORONE_CPM-XAXIS-INTERSTITIAL
Traditional Display Media,Rappi,TRADITIONAL DISPLAY MEDIA_RAPPI,Other Channels,2021_ktbo_kube_Adverity_Mediaplan_Mayo-Colombia,MCMCO_2021_COL_Kelloggs_Extra_Seasonal_Extra_Rappi_Breakfast for One_CPM-Rappi,MCMCO_2021_COL_KELLOGGS_EXTRA_SEASONAL_EXTRA_RAPPI_BREAKFASTFORONE_CPM-RAPPI,MCMCO_2021_COL_KELLOGGS_EXTRA_SEASONAL_EXTRA_RAPPI_BREAKFASTFORONE_CPM-RAPPI
Facebook,Facebook and Instagram,FACEBOOK_FACEBOOK AND INSTAGRAM,Facebook Ads Insights,2021_ktbo_kube_Adverity_Mediaplan_Mayo-Colombia,MCMMIA_2021_COL_Kelloggs_Masterbrand_Seasonal_Dia de la Mujer_Facebook_Facebook and Instagram_Reach_CPM_Breakfast for One,MCMMIA_2021_COL_KELLOGGS_MASTERBRAND_SEASONAL_DIADELAMUJER_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_BREAKFASTFORONE,MCMMIA_2021_COL_KELLOGGS_MASTERBRAND_SEASONAL_DIADELAMUJER_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_BREAKFASTFORONE
Facebook,Facebook and Instagram,FACEBOOK_FACEBOOK AND INSTAGRAM,Facebook Ads Insights,2021_ktbo_kube_Adverity_Mediaplan_Mayo-Colombia,MCMMIA_2021_COL_Kelloggs_Extra_Seasonal_Extra_Facebook_Facebook and Instagram_Video Views_CPV_Breakfast for One,MCMMIA_2021_COL_KELLOGGS_EXTRA_SEASONAL_EXTRA_FACEBOOK_FACEBOOKANDINSTAGRAM_VIDEOVIEWS_CPV_BREAKFASTFORONE,MCMMIA_2021_COL_KELLOGGS_EXTRA_SEASONAL_EXTRA_FACEBOOK_FACEBOOKANDINSTAGRAM_VIDEOVIEWS_CPV_BREAKFASTFORONE
Facebook,Instagram,FACEBOOK_INSTAGRAM,Facebook Ads Insights,2021_ktbo_kube_Adverity_Mediaplan_Mayo-Colombia,MCMMIA_2021_COL_Kelloggs_Extra_Seasonal_Extra_Facebook_Instagram_Reach_CPM_Breakfast for One,MCMMIA_2021_COL_KELLOGGS_EXTRA_SEASONAL_EXTRA_FACEBOOK_INSTAGRAM_REACH_CPM_BREAKFASTFORONE,MCMMIA_2021_COL_KELLOGGS_EXTRA_SEASONAL_EXTRA_FACEBOOK_INSTAGRAM_REACH_CPM_BREAKFASTFORONE
Facebook,Facebook and Instagram,FACEBOOK_FACEBOOK AND INSTAGRAM,Facebook Ads Insights,2021_ktbo_kube_Adverity_Mediaplan_Mayo-Colombia,MCMMIA_2021_COL_Kelloggs_Extra_Seasonal_Extra_Facebook_Facebook and Instagram_Website Clicks_CPC_Breakfast for One,MCMMIA_2021_COL_KELLOGGS_EXTRA_SEASONAL_EXTRA_FACEBOOK_FACEBOOKANDINSTAGRAM_WEBSITECLICKS_CPC_BREAKFASTFORONE,MCMMIA_2021_COL_KELLOGGS_EXTRA_SEASONAL_EXTRA_FACEBOOK_FACEBOOKANDINSTAGRAM_WEBSITECLICKS_CPC_BREAKFASTFORONE
Traditional Display Media,El tiempo,TRADITIONAL DISPLAY MEDIA_EL TIEMPO,Other Channels,2021_ktbo_kube_Adverity_Mediaplan_Mayo-Colombia,MCMCO_2021_COL_Kelloggs_Extra_Seasonal_Extra_Sizmek_Breakfast for One_CPM-El Tiempo,MCMCO_2021_COL_KELLOGGS_EXTRA_SEASONAL_EXTRA_SIZMEK_BREAKFASTFORONE_CPM-ELTIEMPO,MCMCO_2021_COL_KELLOGGS_EXTRA_SEASONAL_EXTRA_SIZMEK_BREAKFASTFORONE_CPM-ELTIEMPO
Traditional Display Media,Tap Tap-Video,TRADITIONAL DISPLAY MEDIA_TAP TAP-VIDEO,Other Channels,2021_ktbo_kube_Adverity_Mediaplan_Mayo-Colombia,MCMCO_2021_COL_Kelloggs_Extra_Seasonal_Extra_Sizmek_Breakfast for One_CPM-Tap Tap-Video,MCMCO_2021_COL_KELLOGGS_EXTRA_SEASONAL_EXTRA_SIZMEK_BREAKFASTFORONE_CPM-TAPTAP-VIDEO,MCMCO_2021_COL_KELLOGGS_EXTRA_SEASONAL_EXTRA_SIZMEK_BREAKFASTFORONE_CPM-TAPTAP-VIDEO
Traditional Display Media,Xaxis - Display,TRADITIONAL DISPLAY MEDIA_XAXIS - DISPLAY,Sizmek Sas,2021_ktbo_kube_Adverity_Mediaplan_Mayo-Colombia,MCMCO_2021_COL_Kelloggs_Extra_Seasonal_Extra_Sizmek_Breakfast for One_CPM-Xaxis - Display,MCMCO_2021_COL_KELLOGGS_EXTRA_SEASONAL_EXTRA_SIZMEK_BREAKFASTFORONE_CPM-XAXIS-DISPLAY,MCMCO_2021_COL_KELLOGGS_EXTRA_SEASONAL_EXTRA_SIZMEK_BREAKFASTFORONE_CPM-XAXIS-DISPLAY
Traditional Display Media,Sunmedia,TRADITIONAL DISPLAY MEDIA_SUNMEDIA,Other Channels,2021_ktbo_kube_Adverity_Mediaplan_Mayo-Colombia,MCMCO_2021_COL_Kelloggs_Extra_Seasonal_Extra_Sizmek_Breakfast for One_CPM-Sunmedia,MCMCO_2021_COL_KELLOGGS_EXTRA_SEASONAL_EXTRA_SIZMEK_BREAKFASTFORONE_CPM-SUNMEDIA,MCMCO_2021_COL_KELLOGGS_EXTRA_SEASONAL_EXTRA_SIZMEK_BREAKFASTFORONE_CPM-SUNMEDIA
Facebook,Facebook and Instagram,FACEBOOK_FACEBOOK AND INSTAGRAM,Facebook Ads Insights,2021_ktbo_kube_Adverity_Mediaplan_Mayo-Miami,MCMMIA_2021_CHL_Kelloggs_Masterbrand_Seasonal_Despierta Mucho Mas_Facebook_Facebook and Instagram_Website Clicks_CPC_Breakfast for One,MCMMIA_2021_CHL_KELLOGGS_MASTERBRAND_SEASONAL_DESPIERTAMUCHOMAS_FACEBOOK_FACEBOOKANDINSTAGRAM_WEBSITECLICKS_CPC_BREAKFASTFORONE,MCMMIA_2021_CHL_KELLOGGS_MASTERBRAND_SEASONAL_DESPIERTAMUCHOMAS_FACEBOOK_FACEBOOKANDINSTAGRAM_WEBSITECLICKS_CPC_BREAKFASTFORONE
Facebook,Facebook and Instagram,FACEBOOK_FACEBOOK AND INSTAGRAM,Facebook Ads Insights,2021_ktbo_kube_Adverity_Mediaplan_Mayo-Miami,MCMMIA_2021_CHL_Kelloggs_Masterbrand_Seasonal_Despierta Mucho Mas_Facebook_Facebook and Instagram_Video Views_CPCV_Breakfast for One,MCMMIA_2021_CHL_KELLOGGS_MASTERBRAND_SEASONAL_DESPIERTAMUCHOMAS_FACEBOOK_FACEBOOKANDINSTAGRAM_VIDEOVIEWS_CPCV_BREAKFASTFORONE,MCMMIA_2021_CHL_KELLOGGS_MASTERBRAND_SEASONAL_DESPIERTAMUCHOMAS_FACEBOOK_FACEBOOKANDINSTAGRAM_VIDEOVIEWS_CPCV_BREAKFASTFORONE
Google,Youtube,GOOGLE_YOUTUBE,Google Adwords,2021_ktbo_kube_Adverity_Mediaplan_Mayo-Miami,MCMMIA_2021_CHL_Kelloggs_Masterbrand_Seasonal_Google_Youtube_Despierta Mucho Mas_Affinity Audiences_CPV_Breakfast for One,MCMMIA_2021_CHL_KELLOGGS_MASTERBRAND_SEASONAL_GOOGLE_YOUTUBE_DESPIERTAMUCHOMAS_AFFINITYAUDIENCES_CPV_BREAKFASTFORONE,MCMMIA_2021_CHL_KELLOGGS_MASTERBRAND_SEASONAL_GOOGLE_YOUTUBE_DESPIERTAMUCHOMAS_AFFINITYAUDIENCES_CPV_BREAKFASTFORONE
Traditional Display Media,Xaxis - Video,TRADITIONAL DISPLAY MEDIA_XAXIS - VIDEO,Sizmek Sas,2021_ktbo_kube_Adverity_Mediaplan_Mayo-Miami,MCMMIA_2021_CHL_Kelloggs_Masterbrand_Seasonal_Despierta Mucho Mas_Sizmek_Breakfast for One_CPCV-Xaxis - Video,MCMMIA_2021_CHL_KELLOGGS_MASTERBRAND_SEASONAL_DESPIERTAMUCHOMAS_SIZMEK_BREAKFASTFORONE_CPCV-XAXIS-VIDEO,MCMMIA_2021_CHL_KELLOGGS_MASTERBRAND_SEASONAL_DESPIERTAMUCHOMAS_SIZMEK_BREAKFASTFORONE_CPCV-XAXIS-VIDEO
Facebook,Facebook and Instagram,FACEBOOK_FACEBOOK AND INSTAGRAM,Facebook Ads Insights,2021_ktbo_kube_Adverity_Mediaplan_Mayo-Miami,MCMMIA_2021_CHL_Kelloggs_Masterbrand_Seasonal_Despierta Mucho Mas_Facebook_Facebook and Instagram_Reach_CPM_Breakfast for One,MCMMIA_2021_CHL_KELLOGGS_MASTERBRAND_SEASONAL_DESPIERTAMUCHOMAS_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_BREAKFASTFORONE,MCMMIA_2021_CHL_KELLOGGS_MASTERBRAND_SEASONAL_DESPIERTAMUCHOMAS_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_BREAKFASTFORONE
Traditional Display Media,Xaxis - Scroll Reactive,TRADITIONAL DISPLAY MEDIA_XAXIS - SCROLL REACTIVE,Sizmek Sas,2021_ktbo_kube_Adverity_Mediaplan_Mayo-Miami,MCMMIA_2021_CHL_Kelloggs_Masterbrand_Seasonal_Despierta Mucho Mas_Sizmek_Breakfast for One_CPM-Xaxis - Scroll Reactive,MCMMIA_2021_CHL_KELLOGGS_MASTERBRAND_SEASONAL_DESPIERTAMUCHOMAS_SIZMEK_BREAKFASTFORONE_CPM-XAXIS-SCROLLREACTIVE,MCMMIA_2021_CHL_KELLOGGS_MASTERBRAND_SEASONAL_DESPIERTAMUCHOMAS_SIZMEK_BREAKFASTFORONE_CPM-XAXIS-SCROLLREACTIVE
Traditional Display Media,Xaxis - Standard Banners,TRADITIONAL DISPLAY MEDIA_XAXIS - STANDARD BANNERS,Sizmek Sas,2021_ktbo_kube_Adverity_Mediaplan_Mayo-Miami,MCMMIA_2021_CHL_Kelloggs_Masterbrand_Seasonal_Despierta Mucho Mas_Sizmek_Breakfast for One_CPM-Xaxis - Standard Banners,MCMMIA_2021_CHL_KELLOGGS_MASTERBRAND_SEASONAL_DESPIERTAMUCHOMAS_SIZMEK_BREAKFASTFORONE_CPM-XAXIS-STANDARDBANNERS,MCMMIA_2021_CHL_KELLOGGS_MASTERBRAND_SEASONAL_DESPIERTAMUCHOMAS_SIZMEK_BREAKFASTFORONE_CPM-XAXIS-STANDARDBANNERS
Traditional Display Media,Xaxis - Video Board,TRADITIONAL DISPLAY MEDIA_XAXIS - VIDEO BOARD,Sizmek Sas,2021_ktbo_kube_Adverity_Mediaplan_Mayo-Miami,MCMMIA_2021_CHL_Kelloggs_Masterbrand_Seasonal_Despierta Mucho Mas_Sizmek_Breakfast for One_CPM-Xaxis - Video Board,MCMMIA_2021_CHL_KELLOGGS_MASTERBRAND_SEASONAL_DESPIERTAMUCHOMAS_SIZMEK_BREAKFASTFORONE_CPM-XAXIS-VIDEOBOARD,MCMMIA_2021_CHL_KELLOGGS_MASTERBRAND_SEASONAL_DESPIERTAMUCHOMAS_SIZMEK_BREAKFASTFORONE_CPM-XAXIS-VIDEOBOARD
Traditional Display Media,Xaxis - Standard Banners,TRADITIONAL DISPLAY MEDIA_XAXIS - STANDARD BANNERS,Sizmek Sas,2021_ktbo_kube_Adverity_Mediaplan_Mayo-Mexico,MCMMX_2021_MEX_Kelloggs_Choco Krispis_Seasonal_A lo grande_Sizmek_Family Breakfast_CPM-Xaxis - Standard Banners,MCMMX_2021_MEX_KELLOGGS_CHOCOKRISPIS_SEASONAL_ALOGRANDE_SIZMEK_FAMILYBREAKFAST_CPM-XAXIS-STANDARDBANNERS,MCMMX_2021_MEX_KELLOGGS_CHOCOKRISPIS_SEASONAL_ALOGRANDE_SIZMEK_FAMILYBREAKFAST_CPM-XAXIS-STANDARDBANNERS
Traditional Display Media,Xaxis Pre-Roll,TRADITIONAL DISPLAY MEDIA_XAXIS PRE-ROLL,Sizmek Sas,2021_ktbo_kube_Adverity_Mediaplan_Mayo-Mexico,MCMMX_2021_MEX_Kelloggs_Choco Krispis_Seasonal_A lo grande_Sizmek_Family Breakfast_CPCV-Xaxis Pre-Roll,MCMMX_2021_MEX_KELLOGGS_CHOCOKRISPIS_SEASONAL_ALOGRANDE_SIZMEK_FAMILYBREAKFAST_CPCV-XAXISPRE-ROLL,MCMMX_2021_MEX_KELLOGGS_CHOCOKRISPIS_SEASONAL_ALOGRANDE_SIZMEK_FAMILYBREAKFAST_CPCV-XAXISPRE-ROLL
Google,Google - Reserva,GOOGLE_GOOGLE - RESERVA,Other Channels,2021_ktbo_kube_Adverity_Mediaplan_Mayo-Mexico,MCMMX_2021_MEX_Kelloggs_Choco Krispis_Seasonal_A lo grande_Google - Reserva_Family Breakfast_CPV-Google - Reserva,MCMMX_2021_MEX_KELLOGGS_CHOCOKRISPIS_SEASONAL_ALOGRANDE_GOOGLE-RESERVA_FAMILYBREAKFAST_CPV-GOOGLE-RESERVA,MCMMX_2021_MEX_KELLOGGS_CHOCOKRISPIS_SEASONAL_ALOGRANDE_GOOGLE-RESERVA_FAMILYBREAKFAST_CPV-GOOGLE-RESERVA
Facebook,Facebook and Instagram,FACEBOOK_FACEBOOK AND INSTAGRAM,Facebook Ads Insights,2021_ktbo_kube_Adverity_Mediaplan_Mayo-Mexico,MCMMX_2021_MEX_Kelloggs_Choco Krispis_Seasonal_M&Ms_Facebook_Facebook and Instagram_Reach_CPM_Family Breakfast,MCMMX_2021_MEX_KELLOGGS_CHOCOKRISPIS_SEASONAL_M&MS_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_FAMILYBREAKFAST,MCMMX_2021_MEX_KELLOGGS_CHOCOKRISPIS_SEASONAL_M&MS_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_FAMILYBREAKFAST
Traditional Display Media,Cornershop,TRADITIONAL DISPLAY MEDIA_CORNERSHOP,Other Channels,2021_ktbo_kube_Adverity_Mediaplan_Mayo-Mexico,MCMMX_2021_MEX_Kelloggs_Extra_Seasonal_Extra_Cornershop_Breakfast for One_Fixed-Cornershop,MCMMX_2021_MEX_KELLOGGS_EXTRA_SEASONAL_EXTRA_CORNERSHOP_BREAKFASTFORONE_FIXED-CORNERSHOP,MCMMX_2021_MEX_KELLOGGS_EXTRA_SEASONAL_EXTRA_CORNERSHOP_BREAKFASTFORONE_FIXED-CORNERSHOP
Google,Google - Reserva,GOOGLE_GOOGLE - RESERVA,Other Channels,2021_ktbo_kube_Adverity_Mediaplan_Mayo-Mexico,MCMMX_2021_MEX_Kelloggs_Choco Krispis_Seasonal_A lo grande_Google - Reserva_Family Breakfast_CPM-Google - Reserva,MCMMX_2021_MEX_KELLOGGS_CHOCOKRISPIS_SEASONAL_ALOGRANDE_GOOGLE-RESERVA_FAMILYBREAKFAST_CPM-GOOGLE-RESERVA,MCMMX_2021_MEX_KELLOGGS_CHOCOKRISPIS_SEASONAL_ALOGRANDE_GOOGLE-RESERVA_FAMILYBREAKFAST_CPM-GOOGLE-RESERVA
Facebook,Facebook,FACEBOOK_FACEBOOK,Facebook Ads Insights,2021_ktbo_kube_Adverity_Mediaplan_Mayo-Mexico,MCMMX_2021_MEX_Kelloggs_Corporate Affairs_Seasonal_Nuevo Año_Facebook_Facebook_Reach_CPM_Family Breakfast,MCMMX_2021_MEX_KELLOGGS_CORPORATEAFFAIRS_SEASONAL_NUEVOAÑO_FACEBOOK_FACEBOOK_REACH_CPM_FAMILYBREAKFAST,MCMMX_2021_MEX_KELLOGGS_CORPORATEAFFAIRS_SEASONAL_NUEVOAÑO_FACEBOOK_FACEBOOK_REACH_CPM_FAMILYBREAKFAST
Facebook,Facebook,FACEBOOK_FACEBOOK,Facebook Ads Insights,2021_ktbo_kube_Adverity_Mediaplan_Mayo-Mexico,MCMMX_2021_MEX_Kelloggs_Corporate Affairs_Seasonal_Cereal Relevance_Facebook_Facebook_Reach_CPM_Family Breakfast,MCMMX_2021_MEX_KELLOGGS_CORPORATEAFFAIRS_SEASONAL_CEREALRELEVANCE_FACEBOOK_FACEBOOK_REACH_CPM_FAMILYBREAKFAST,MCMMX_2021_MEX_KELLOGGS_CORPORATEAFFAIRS_SEASONAL_CEREALRELEVANCE_FACEBOOK_FACEBOOK_REACH_CPM_FAMILYBREAKFAST
Facebook,Facebook,FACEBOOK_FACEBOOK,Facebook Ads Insights,2021_ktbo_kube_Adverity_Mediaplan_Mayo-Mexico,MCMMX_2021_MEX_Kelloggs_Corporate Affairs_Seasonal_CIMMYT_Facebook_Facebook_Reach_CPM_Family Breakfast,MCMMX_2021_MEX_KELLOGGS_CORPORATEAFFAIRS_SEASONAL_CIMMYT_FACEBOOK_FACEBOOK_REACH_CPM_FAMILYBREAKFAST,MCMMX_2021_MEX_KELLOGGS_CORPORATEAFFAIRS_SEASONAL_CIMMYT_FACEBOOK_FACEBOOK_REACH_CPM_FAMILYBREAKFAST
Facebook,Facebook,FACEBOOK_FACEBOOK,Facebook Ads Insights,2021_ktbo_kube_Adverity_Mediaplan_Mayo-Mexico,MCMMX_2021_MEX_Kelloggs_Corporate Affairs_Seasonal_Kellogg Winning Culture_Facebook_Facebook_Reach_CPM_Family Breakfast,MCMMX_2021_MEX_KELLOGGS_CORPORATEAFFAIRS_SEASONAL_KELLOGGWINNINGCULTURE_FACEBOOK_FACEBOOK_REACH_CPM_FAMILYBREAKFAST,MCMMX_2021_MEX_KELLOGGS_CORPORATEAFFAIRS_SEASONAL_KELLOGGWINNINGCULTURE_FACEBOOK_FACEBOOK_REACH_CPM_FAMILYBREAKFAST
Facebook,Facebook,FACEBOOK_FACEBOOK,Facebook Ads Insights,2021_ktbo_kube_Adverity_Mediaplan_Mayo-Mexico,MCMMX_2021_MEX_Kelloggs_Corporate Affairs_Seasonal_Winning Body and Mine_Facebook_Facebook_Reach_CPM_Family Breakfast,MCMMX_2021_MEX_KELLOGGS_CORPORATEAFFAIRS_SEASONAL_WINNINGBODYANDMINE_FACEBOOK_FACEBOOK_REACH_CPM_FAMILYBREAKFAST,MCMMX_2021_MEX_KELLOGGS_CORPORATEAFFAIRS_SEASONAL_WINNINGBODYANDMINE_FACEBOOK_FACEBOOK_REACH_CPM_FAMILYBREAKFAST
Facebook,Facebook and Instagram,FACEBOOK_FACEBOOK AND INSTAGRAM,Facebook Ads Insights,2021_ktbo_kube_Adverity_Mediaplan_Mayo-Mexico,MCMMX_2021_MEX_Kelloggs_Corporate Affairs_Seasonal_Alimentos de Calidad_Facebook_Facebook and Instagram_Reach_CPM_Family Breakfast,MCMMX_2021_MEX_KELLOGGS_CORPORATEAFFAIRS_SEASONAL_ALIMENTOSDECALIDAD_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_FAMILYBREAKFAST,MCMMX_2021_MEX_KELLOGGS_CORPORATEAFFAIRS_SEASONAL_ALIMENTOSDECALIDAD_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_FAMILYBREAKFAST
Facebook,Facebook and Instagram,FACEBOOK_FACEBOOK AND INSTAGRAM,Facebook Ads Insights,2021_ktbo_kube_Adverity_Mediaplan_Mayo-Mexico,MCMMX_2021_MEX_Kelloggs_Corporate Affairs_Seasonal_Dia de la Tierra_Facebook_Facebook and Instagram_Reach_CPM_Family Breakfast,MCMMX_2021_MEX_KELLOGGS_CORPORATEAFFAIRS_SEASONAL_DIADELATIERRA_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_FAMILYBREAKFAST,MCMMX_2021_MEX_KELLOGGS_CORPORATEAFFAIRS_SEASONAL_DIADELATIERRA_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_FAMILYBREAKFAST
Facebook,Facebook and Instagram,FACEBOOK_FACEBOOK AND INSTAGRAM,Facebook Ads Insights,2021_ktbo_kube_Adverity_Mediaplan_Mayo-Mexico,MCMMX_2021_MEX_Kelloggs_Corporate Affairs_Seasonal_Madres Trabajadoras_Facebook_Facebook and Instagram_Reach_CPM_Family Breakfast,MCMMX_2021_MEX_KELLOGGS_CORPORATEAFFAIRS_SEASONAL_MADRESTRABAJADORAS_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_FAMILYBREAKFAST,MCMMX_2021_MEX_KELLOGGS_CORPORATEAFFAIRS_SEASONAL_MADRESTRABAJADORAS_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_FAMILYBREAKFAST
Facebook,Facebook and Instagram,FACEBOOK_FACEBOOK AND INSTAGRAM,Facebook Ads Insights,2021_ktbo_kube_Adverity_Mediaplan_Mayo-Mexico,MCMMX_2021_MEX_Kelloggs_Corporate Affairs_Seasonal_Total and Health_Facebook_Facebook and Instagram_Reach_CPM_Family Breakfast,MCMMX_2021_MEX_KELLOGGS_CORPORATEAFFAIRS_SEASONAL_TOTALANDHEALTH_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_FAMILYBREAKFAST,MCMMX_2021_MEX_KELLOGGS_CORPORATEAFFAIRS_SEASONAL_TOTALANDHEALTH_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_FAMILYBREAKFAST
Facebook,Facebook and Instagram,FACEBOOK_FACEBOOK AND INSTAGRAM,Facebook Ads Insights,2021_ktbo_kube_Adverity_Mediaplan_Mayo-Mexico,MCMMX_2021_MEX_Kelloggs_Extra_Seasonal_Extra_Facebook_Facebook and Instagram_Reach_CPM_Breakfast for One,MCMMX_2021_MEX_KELLOGGS_EXTRA_SEASONAL_EXTRA_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_BREAKFASTFORONE,MCMMX_2021_MEX_KELLOGGS_EXTRA_SEASONAL_EXTRA_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_BREAKFASTFORONE
Facebook,Facebook and Instagram,FACEBOOK_FACEBOOK AND INSTAGRAM,Facebook Ads Insights,2021_ktbo_kube_Adverity_Mediaplan_Mayo-Mexico,MCMMX_2021_MEX_Kelloggs_Extra_Seasonal_Extra_Facebook_Facebook and Instagram_Engagement_CPE_Breakfast for One,MCMMX_2021_MEX_KELLOGGS_EXTRA_SEASONAL_EXTRA_FACEBOOK_FACEBOOKANDINSTAGRAM_ENGAGEMENT_CPE_BREAKFASTFORONE,MCMMX_2021_MEX_KELLOGGS_EXTRA_SEASONAL_EXTRA_FACEBOOK_FACEBOOKANDINSTAGRAM_ENGAGEMENT_CPE_BREAKFASTFORONE
Facebook,Facebook and Instagram,FACEBOOK_FACEBOOK AND INSTAGRAM,Facebook Ads Insights,2021_ktbo_kube_Adverity_Mediaplan_Mayo-Mexico,MCMMX_2021_MEX_Kelloggs_Extra_Seasonal_Extra_Facebook_Facebook and Instagram_Website Clicks_CPC_Breakfast for One,MCMMX_2021_MEX_KELLOGGS_EXTRA_SEASONAL_EXTRA_FACEBOOK_FACEBOOKANDINSTAGRAM_WEBSITECLICKS_CPC_BREAKFASTFORONE,MCMMX_2021_MEX_KELLOGGS_EXTRA_SEASONAL_EXTRA_FACEBOOK_FACEBOOKANDINSTAGRAM_WEBSITECLICKS_CPC_BREAKFASTFORONE
Google,Youtube,GOOGLE_YOUTUBE,Google Adwords,2021_ktbo_kube_Adverity_Mediaplan_Mayo-Mexico,MCMMX_2021_MEX_Kelloggs_Extra_Seasonal_Google_Youtube_Extra_Affinity Audiences_CPV_Breakfast for One,MCMMX_2021_MEX_KELLOGGS_EXTRA_SEASONAL_GOOGLE_YOUTUBE_EXTRA_AFFINITYAUDIENCES_CPV_BREAKFASTFORONE,MCMMX_2021_MEX_KELLOGGS_EXTRA_SEASONAL_GOOGLE_YOUTUBE_EXTRA_AFFINITYAUDIENCES_CPV_BREAKFASTFORONE
Traditional Display Media,Seedtag,TRADITIONAL DISPLAY MEDIA_SEEDTAG,Other Channels,2021_ktbo_kube_Adverity_Mediaplan_Mayo-Mexico,MCMMX_2021_MEX_Kelloggs_Choco Krispis_Seasonal_A lo grande_Seedtag_Family Breakfast_CPM-Seedtag,MCMMX_2021_MEX_KELLOGGS_CHOCOKRISPIS_SEASONAL_ALOGRANDE_SEEDTAG_FAMILYBREAKFAST_CPM-SEEDTAG,MCMMX_2021_MEX_KELLOGGS_CHOCOKRISPIS_SEASONAL_ALOGRANDE_SEEDTAG_FAMILYBREAKFAST_CPM-SEEDTAG
Facebook,Facebook,FACEBOOK_FACEBOOK,Facebook Ads Insights,2021_ktbo_kube_Adverity_Mediaplan_Mayo-Mexico,MCMMX_2021_MEX_Kelloggs_Corporate Affairs_Seasonal_NT_Facebook_Facebook_Reach_CPM_Family Breakfast,MCMMX_2021_MEX_KELLOGGS_CORPORATEAFFAIRS_SEASONAL_NT_FACEBOOK_FACEBOOK_REACH_CPM_FAMILYBREAKFAST,MCMMX_2021_MEX_KELLOGGS_CORPORATEAFFAIRS_SEASONAL_NT_FACEBOOK_FACEBOOK_REACH_CPM_FAMILYBREAKFAST
Facebook,Facebook and Instagram,FACEBOOK_FACEBOOK AND INSTAGRAM,Facebook Ads Insights,2021_ktbo_kube_Adverity_Mediaplan_Mayo-Mexico,MCMMX_2021_MEX_Kelloggs_Corporate Affairs_Seasonal_Dia de la Felicidad_Facebook_Facebook and Instagram_Reach_CPM_Family Breakfast,MCMMX_2021_MEX_KELLOGGS_CORPORATEAFFAIRS_SEASONAL_DIADELAFELICIDAD_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_FAMILYBREAKFAST,MCMMX_2021_MEX_KELLOGGS_CORPORATEAFFAIRS_SEASONAL_DIADELAFELICIDAD_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_FAMILYBREAKFAST
Facebook,Facebook,FACEBOOK_FACEBOOK,Facebook Ads Insights,2021_ktbo_kube_Adverity_Mediaplan_Mayo-Mexico,MCMMX_2021_MEX_Kelloggs_Corporate Affairs_Seasonal_Beneficios Cereal_Facebook_Facebook_Reach_CPM_Family Breakfast,MCMMX_2021_MEX_KELLOGGS_CORPORATEAFFAIRS_SEASONAL_BENEFICIOSCEREAL_FACEBOOK_FACEBOOK_REACH_CPM_FAMILYBREAKFAST,MCMMX_2021_MEX_KELLOGGS_CORPORATEAFFAIRS_SEASONAL_BENEFICIOSCEREAL_FACEBOOK_FACEBOOK_REACH_CPM_FAMILYBREAKFAST
Facebook,Facebook and Instagram,FACEBOOK_FACEBOOK AND INSTAGRAM,Facebook Ads Insights,2021_ktbo_kube_Adverity_Mediaplan_Mayo-Mexico,MCMMIA_2021_MEX_Kelloggs_Masterbrand_Seasonal_Dia de la Mujer_Facebook_Facebook and Instagram_Reach_CPM_Breakfast for One,MCMMIA_2021_MEX_KELLOGGS_MASTERBRAND_SEASONAL_DIADELAMUJER_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_BREAKFASTFORONE,MCMMIA_2021_MEX_KELLOGGS_MASTERBRAND_SEASONAL_DIADELAMUJER_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_BREAKFASTFORONE
